Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
3188,iway AG,Zurich,2019-06-12T19:02:17.483967Z,35.4913301662265,16.304,23092119.212974913,2775085.9604900866,,8.8.81.82
3188,iway AG,Zurich,2019-06-12T19:22:17.960194Z,35.4913301662265,21.943,16052833.53127076,2342424.982532301,,8.8.81.82
3188,iway AG,Zurich,2019-06-12T19:42:18.198214Z,35.4913301662265,15.997,12703566.344930675,2525783.0207098024,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-12T20:02:17.488043Z,35.4913301662265,20.306,16063881.652095664,3372918.5961619965,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-12T20:22:17.965970Z,35.4913301662265,18.19,34609407.064526945,2867599.6008154354,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-12T20:42:17.578999Z,35.4913301662265,14.298,29888918.05834478,3117431.4849710907,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-12T21:02:18.367206Z,35.4913301662265,15.928,28486269.204571474,3484617.5945432847,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-12T21:22:18.333092Z,35.4913301662265,16.083,36853914.13820065,3409326.534255052,,8.8.81.82
3188,iway AG,Zurich,2019-06-12T21:42:17.913191Z,35.4913301662265,14.72,32062405.64293145,3277747.7925268235,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-12T22:02:17.780538Z,35.4913301662265,17.457,30268255.788067304,3339814.029917689,,8.8.81.82
3411,Datasource. AG,Zug,2019-06-12T22:22:18.344566Z,16.49716906782437,16.873,33184977.657267682,3086684.7594087943,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-12T22:42:18.366740Z,35.4913301662265,14.731,27386187.331584536,3526087.72786136,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-12T23:02:17.694600Z,35.4913301662265,17.177,29716058.882518057,3535922.457972751,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-12T23:22:17.934832Z,35.4913301662265,17.475,29075076.924505826,3482024.992139728,,8.8.81.82
3188,iway AG,Zurich,2019-06-12T23:42:18.214777Z,35.4913301662265,14.728,39206371.75247354,3514119.598056105,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T00:02:17.514015Z,35.4913301662265,15.704,42979532.4843346,3491577.0544721615,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T00:22:17.809533Z,35.4913301662265,15.492,40337868.0316604,3490853.0903191725,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T00:42:18.100876Z,35.4913301662265,14.214,41375530.84551712,3532135.7440660326,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T01:02:18.159798Z,35.4913301662265,13.818,43829017.991204284,3511914.5213315366,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T01:22:18.219572Z,35.4913301662265,17.037,39648417.92056912,3491874.876304295,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T01:42:17.514628Z,35.4913301662265,13.927,43355414.61555932,3484460.8083401383,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T02:02:17.806138Z,35.4913301662265,13.971,36894165.92004955,3562226.097275462,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T02:22:17.631964Z,35.4913301662265,15.874,41640795.234660044,3545094.690497801,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T02:42:17.431880Z,35.4913301662265,15.02,44599284.71381025,3529332.784513289,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T03:02:18.340296Z,35.4913301662265,15.018,38869258.49728669,3461919.1596852667,,8.8.81.82
3411,Datasource. AG,Zug,2019-06-13T03:22:17.547601Z,16.49716906782437,16.32,40211412.86305206,3492989.301378496,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T03:42:17.846468Z,35.4913301662265,15.754,43143214.64553243,3493394.586573714,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T04:02:18.153444Z,35.4913301662265,15.622,35265345.11340151,3300751.1391470535,,8.8.81.82
3411,Datasource. AG,Zug,2019-06-13T04:22:17.950459Z,16.49716906782437,16.889,41280549.7442496,3343061.264626233,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T04:42:17.766384Z,35.4913301662265,15.301,32387547.569845784,3073352.8115712223,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T05:02:17.569011Z,35.4913301662265,15.458,35337340.84567658,3123191.13328395,,8.8.81.82
3411,Datasource. AG,Zug,2019-06-13T05:22:18.391838Z,16.49716906782437,17.291,40209436.86729743,3171419.088280069,,8.8.81.82
17530,Etzelnet,Freienbach,2019-06-13T05:42:17.751317Z,34.5004170640124,18.583,31453515.055385698,3099005.8486281657,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T06:02:17.497741Z,35.4913301662265,15.765,36789934.88478524,3172052.2542910287,,8.8.81.82
3411,Datasource. AG,Zug,2019-06-13T06:22:17.787482Z,16.49716906782437,16.924,17957132.59093374,3380909.8716906514,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T06:42:17.609361Z,35.4913301662265,14.905,17284221.05296171,3304043.9307210683,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T07:02:17.919678Z,35.4913301662265,14.255,19857833.73361074,3394144.055986109,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T07:22:17.734999Z,35.4913301662265,16.639,19560029.161813315,3395532.299742327,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T07:42:17.590357Z,35.4913301662265,15.601,20092507.4798263,3406657.021349865,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T08:02:18.347837Z,35.4913301662265,16.63,43172760.66293512,3269323.3219119855,,8.8.81.82
3411,Datasource. AG,Zug,2019-06-13T08:22:17.658543Z,16.49716906782437,17.148,41635503.2527517,3190139.4226975585,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T08:42:17.932668Z,35.4913301662265,15.761,43722158.96524898,3169364.3930710237,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T09:02:18.200738Z,35.4913301662265,14.912,45564654.84810859,3320868.7539152782,,8.8.81.82
3411,Datasource. AG,Zug,2019-06-13T09:22:17.824801Z,16.49716906782437,17.875,42592438.99782353,3280210.073845387,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T09:42:17.675758Z,35.4913301662265,13.484,42626479.67018434,3232242.216827572,,8.8.81.82
6251,nexellent AG,Zurich,2019-06-13T10:02:17.927756Z,35.4913301662265,16.242,41255369.14111896,3162752.414282994,,8.8.81.82
3411,Datasource. AG,Zug,2019-06-13T10:22:17.556446Z,16.49716906782437,17.278,43521413.579516634,3328908.9247465977,,8.8.81.82
3188,iway AG,Zurich,2019-06-13T10:42:17.468030Z,35.4913301662265,14.359,45307069.127230234,3356235.993152416,,8.8.81.82
